,id,text,label,intensity,word_count,char_count,punc_count,range,stop_words
69,10069,lose coupl nigga want reveng put coach,anger,0.875,13,44,0,0.8 - 0.899,6
70,10070,' poor packag amazon fulfil seller furiou much ðÿ ˜•,anger,0.75,19,89,2,0.7 - 0.799,10
71,10071,' outrag black man kill anoth black man street ?,anger,0.75,14,64,2,0.7 - 0.799,5
72,10072,make fuck irat jesu . nobodi call ppl like hajim abus stop strawmen lmao,anger,0.75,20,90,1,0.7 - 0.799,7
73,10073,absolut fume ' scratch car ðÿ ˜¡ ðÿ ˜¡ ðÿ ˜¡ ðÿ ˜¡ ðÿ ˜¡ ðÿ ˜¡,anger,0.75,9,65,1,0.7 - 0.799,3
74,10074,holi shit bee sting like fuck ' die,anger,0.5529999999999999,13,60,3,0.5 - 0.599,5
75,10075,fu * k ! heck ! move fridg !... knock landlord door . # mad ##,anger,0.7290000000000001,17,73,11,0.7 - 0.799,8
76,10076,dislik peopl get offend littlest shit .,anger,0.7290000000000001,11,46,1,0.7 - 0.799,4
77,10077,"fuck suppos lunch , dinner , money ' work # furiou # hangri # day",anger,0.7290000000000001,23,89,6,0.7 - 0.799,13
78,10078,". one person ruin season , angri",anger,0.7290000000000001,16,65,4,0.7 - 0.799,7
79,10079,"fuck suppos lunch , dinner , money ' work # hangri # day",anger,0.7290000000000001,22,81,5,0.7 - 0.799,13
80,10080,buse unreli e ticket app unabl get two buse late work # fume # useless repli,anger,0.8640000000000001,26,114,3,0.8 - 0.899,11
81,10081,indian uber driver call someon n word . ' move vehicl ' jump # disgust # offend,anger,0.7290000000000001,24,106,5,0.7 - 0.799,11
82,10082,"liber outrag king say n - word realli anger . white yuppi progress go fuck , shame black",anger,0.863,23,117,3,0.8 - 0.899,7
83,10083,pay chicken ' even get ðÿ ˜‘ ðÿ ˜‘ ðÿ ˜‘ goe dollar custom # angri,anger,0.7290000000000001,22,102,3,0.7 - 0.799,11
84,10084,mistak half ass excus burn hell forev,anger,0.7290000000000001,19,70,0,0.7 - 0.799,12
85,10085,year irrelev . absolut joke . # manutd # ticket # fume # noloyalti # joke # notimpress,anger,0.873,21,118,9,0.8 - 0.899,10
86,10086,part - buzz cheeki squashi two - expect . sort ! # food # angri,anger,0.5379999999999999,21,119,11,0.5 - 0.599,8
87,10087,"taser immobil , taser someon fuck need shoot one second later ?! realli sick ! # wtf # murder",anger,0.7290000000000001,24,108,6,0.7 - 0.799,10
88,10088,! ' tell true blood hoopjunki switch f * c ' team juz destroy team . juz ' !,anger,0.7290000000000001,23,101,8,0.7 - 0.799,10
89,10089,fuck coupon goal ! # rage,anger,0.7290000000000001,7,41,3,0.7 - 0.799,2
90,10090,lvg bribe ref utd person reveng . foul prick .,anger,0.7290000000000001,18,75,2,0.7 - 0.799,10
91,10091,"whole clown rage scare shitless , ' gonna go cri room",anger,0.7290000000000001,17,65,2,0.7 - 0.799,7
92,10092,worst juror ever ? michel . nicol ' biggest threat . # bitter # bb,anger,0.7290000000000001,11,65,6,0.7 - 0.799,2
93,10093,twitter pictur make fume .,anger,0.7290000000000001,7,34,1,0.7 - 0.799,3
94,10094,"cruel , cruel man . # therewillbeblood",anger,0.775,8,48,4,0.7 - 0.799,3
95,10095,"' realli madden career game suck , ea sport piss poor job everi year shit",anger,0.867,23,88,2,0.8 - 0.899,8
96,10096,"ha . right . ' san jose , ca , offend right . dave , go walk someth next time .",anger,0.831,26,113,10,0.8 - 0.899,9
97,10097,someth need do peopl hog machin - nobodi use machin one time ! # notfair # whypay,anger,0.708,21,110,5,0.7 - 0.799,5
98,10098,wonder american citi next protest polic shoot . ' next ? smh . # whenwillitstop # angri # howmanymoretim,anger,0.708,19,115,7,0.7 - 0.799,6
99,10099,anoth angri white man !,anger,0.708,6,46,3,0.7 - 0.799,0
100,10100,wee pop sock keep fall insid shoe # rage,anger,0.759,14,56,1,0.7 - 0.799,6
101,10101,"major peopl irrit fuck , cba peopl ahahah",anger,0.862,14,61,1,0.8 - 0.899,6
102,10102,multimillionair spoil brat get self righteou huff bc friend muslim non starter bye !,anger,0.708,22,104,3,0.7 - 0.799,8
103,10103,wont use use !! guy cant get noth right !!,anger,0.708,12,77,6,0.7 - 0.799,1
104,10104,' provok anger,anger,0.708,6,30,3,0.7 - 0.799,3
105,10105,complain time wonder peopl never want see . acc rile . stfuuu !!!!,anger,0.708,21,86,6,0.7 - 0.799,9
106,10106,blood boil,anger,0.708,2,13,0,0.7 - 0.799,0
107,10107,"leav , rule , nimber carpet clean !!! # furiou # worsethananatomicbomb # accidentlyspillbeeronthecarpet",anger,0.708,12,107,8,0.7 - 0.799,3
108,10108,wallah blood boil need take nap ugh,anger,0.8170000000000001,13,56,1,0.8 - 0.899,5
109,10109,swear block ' go hit back,anger,0.708,12,51,2,0.7 - 0.799,5
110,10110,"angri student racist , teacher stop , class let go .",anger,0.708,27,107,4,0.7 - 0.799,16
111,10111,' block everyon everywher post storm . think everyon awar damn rain quit . # damn # rage,anger,0.708,26,115,5,0.7 - 0.799,12
112,10112,' fume ball anger today ðÿ ™ ƒ,anger,0.708,9,34,1,0.7 - 0.799,3
113,10113,' find till today due bff tell . disgust offend .,anger,0.75,22,84,3,0.7 - 0.799,12
114,10114,thank say wife get iphon today lose eta # thank # angri,anger,0.688,24,111,3,0.6 - 0.699,13
115,10115,turn ? surpris . late work ! # fume,anger,0.688,15,66,5,0.6 - 0.699,7
116,10116,polic offic .... right ' shoot ' human without provoc . ' wrong .\ n \ n,anger,0.688,16,127,13,0.6 - 0.699,6
117,10117,angri alreadi,anger,0.688,2,12,0,0.6 - 0.699,0
118,10118,... flat parti instantli get bollock . # fume,anger,0.69,11,52,5,0.6 - 0.699,3
119,10119,add track resent,anger,0.688,6,40,1,0.6 - 0.699,2
120,10120,man affront justic system .,anger,0.688,12,74,4,0.6 - 0.699,5
121,10121,"someon let snake hous , bet kill bugger get hand # huckfp",anger,0.764,22,87,5,0.7 - 0.799,11
122,10122,"ummm , blog say ' simon stehr fake th '... ' expect investig forthwith . # outrag",anger,0.688,18,104,10,0.6 - 0.699,5
123,10123,black arm thug record carri gun illeg get shoot black cop . # outrag joke . let em destroy town,anger,0.688,24,115,4,0.6 - 0.699,7
124,10124,..... wake say ' tri chang nappi ?' ðÿ ˜¡ ðÿ ‘ šðÿ  ¼ # rage !!!!,anger,0.688,13,71,13,0.6 - 0.699,4
125,10125,someon need tell candic ' stick shitti pout wind chang . # gbbo,anger,0.688,17,78,3,0.6 - 0.699,6
126,10126,turn shit ! home button access . \ n \ nwhen innov becom mind fuckeri ? . # iphonephonehom,anger,0.688,17,111,8,0.6 - 0.699,3
127,10127,love peopl make plan without actual includ process # rage,anger,0.688,18,79,1,0.6 - 0.699,9
128,10128,"smh , remov ideolog bankrupt opportunist establish . ' burn bridg social contract . # anger",anger,0.688,17,124,6,0.6 - 0.699,3
129,10129,"' outrag parti nomin lie , corrupt person ? receiv donat nation support terror",anger,0.7659999999999999,20,121,4,0.7 - 0.799,7
130,10130,even forget pick ur fave child school # offend,anger,0.688,15,67,2,0.6 - 0.699,6
131,10131,get angri peopl ' know ' stop sign franci foster # road # rage,anger,0.688,25,92,4,0.6 - 0.699,15
132,10132,irrit . inch thick make mask,anger,0.667,12,60,2,0.6 - 0.699,5
133,10133,fuck coupon goal !,anger,0.667,6,34,2,0.6 - 0.699,2
134,10134,natali one top three favorit ?! # toofac # bitter ðÿ ™„,anger,0.667,13,63,4,0.6 - 0.699,5
135,10135,democrat voter zero toler honesti . associ honesti anger hate .,anger,0.667,17,99,3,0.6 - 0.699,7
136,10136,# rage ?? # crookedcourt say # rage mani time explain away brutal kill # petit # hay & amp ; # komisarjevski,anger,0.667,20,122,11,0.6 - 0.699,5
137,10137,"' ' brother protect one anoth ? one ' seriou , make furiou . ' misl , think fred .' # mayfield",anger,0.578,23,114,11,0.5 - 0.599,9
138,10138,..... wake say ' tri chang nappi ?' ðÿ ˜¡ ðÿ ‘ šðÿ  ¼ !!!!,anger,0.667,13,66,12,0.6 - 0.699,4
139,10139,year irrelev . absolut joke . # manutd # ticket # noloyalti # joke # notimpress,anger,0.667,20,111,8,0.6 - 0.699,10
140,10140,hell break loos charlott . # charlotteprotest # anger # loot,anger,0.667,10,65,4,0.6 - 0.699,3
141,10141,' bpharm guy eish guy bring anger life . see nje like dark fill know,anger,0.667,24,108,3,0.6 - 0.699,9
142,10142,hour footbal practic boil sun hr volleybal practic boil sun,anger,0.667,23,101,0,0.6 - 0.699,13
143,10143,test # angri,anger,0.667,2,13,1,0.6 - 0.699,0
144,10144,put much artefact point furi cant raid ... liter wast month life ! thank blizzard,anger,0.667,21,113,6,0.6 - 0.699,5
145,10145,suppos work ? wtf dude ? thank piss . # furiou,anger,0.833,18,70,4,0.8 - 0.899,9
146,10146,angri .,anger,0.667,3,10,1,0.6 - 0.699,2
147,10147,feel travel mile pick form arriv post two day leav . # fume,anger,0.667,23,88,2,0.6 - 0.699,11
148,10148,' congratul free month activ ' charg â £. month . absolut furiou ðÿ ˜¡,anger,0.667,18,109,5,0.6 - 0.699,6
149,10149,hell hath furi like women scorn . ' affair . parent,anger,0.667,16,80,5,0.6 - 0.699,6
150,10150,straight peopl canoodl quad ' # offend,anger,0.648,10,51,2,0.6 - 0.699,4
151,10151,"definit feel irrit today , lord give strength",anger,0.667,11,54,1,0.6 - 0.699,4
152,10152,chelsea anyth possibl haha . ' fume bet ðÿ ™„ ðÿ ™„ ðÿ ™„ ðÿ ™„ ðÿ ™„ ðÿ ™„,anger,0.6459999999999999,13,96,3,0.6 - 0.699,4
153,10153,break record # madden wish ' say shit everi rush like break record . # shutupphilsimm,anger,0.812,25,111,4,0.8 - 0.899,13
154,10154,appar contact . sofa mean deliv today . old one go . sit floor . sofa ! # fume,anger,0.6459999999999999,23,111,7,0.6 - 0.699,8
155,10155,rabid grizzli bear ' go scatter neighborhood america .\ n \ nthey ' poor refuge !\ n \ n # inyourneighborhoodnotdc,anger,0.6459999999999999,17,125,9,0.6 - 0.699,6
156,10156,dont # blm # thug want # justic black black # gang crime ? # rage cri # racism # cop,anger,0.6459999999999999,24,111,9,0.6 - 0.699,10
157,10157,' honest .. hope annoy southern bint ' look ' pout goe week ! selasi # ftw,anger,0.6459999999999999,22,103,8,0.6 - 0.699,8
158,10158,zero help custom servic . push buck back forth promis callback donâ €™ happen . # loath,anger,0.6459999999999999,20,110,4,0.6 - 0.699,6
159,10159,"' stupid , hate lol # bitter",anger,0.6459999999999999,8,42,4,0.6 - 0.699,2
160,10160,joke !! cut internet earli ' mistak ' ' reinstat longer need engin ðÿ ˜¡,anger,0.6459999999999999,24,105,6,0.6 - 0.699,12
161,10161,"yeah receiv fine today furiou , current appeal member long ...",anger,0.6459999999999999,23,109,6,0.6 - 0.699,11
162,10162,peopl irrit ðÿ ™„,anger,0.6459999999999999,4,20,0,0.6 - 0.699,1
163,10163,men rage strike wish best . # rage # emot # neg # posit # wish # strike # martial # art # control # believ # best # hope,anger,0.6459999999999999,21,120,13,0.6 - 0.699,4
164,10164,", black peopl still fight recogn human . # cantsleep",anger,0.6459999999999999,14,72,3,0.6 - 0.699,5
165,10165,swear block ' go hit back # reveng,anger,0.6459999999999999,13,59,3,0.6 - 0.699,5
166,10166,joke !! cut internet earli ' mistak ' ' reinstat longer need engin ðÿ ˜¡ # fume,anger,0.6459999999999999,25,112,7,0.6 - 0.699,12
167,10167,unarm black kill white cop . mani die everi month chicago # outrag,anger,0.6459999999999999,21,106,5,0.6 - 0.699,5
168,10168,"track show equip deliv , ' ? servic suddenli delay ? ' alreadi week .",anger,0.6459999999999999,21,108,8,0.6 - 0.699,8
169,10169,realli need pout time - get nerv # gbbo,anger,0.6459999999999999,15,56,2,0.6 - 0.699,7
170,10170,ever put fist laptop screen ? time new one lmao # rage # anger # hp,anger,0.6459999999999999,20,79,4,0.6 - 0.699,8
171,10171,mayb also attack tom ' rabid fan & amp ; cloth alway perfect also put ...,anger,0.6459999999999999,24,121,8,0.6 - 0.699,9
172,10172,"dear futur big brother player , chase dick season win , dollar sti # bb # bitter",anger,0.6459999999999999,22,98,4,0.6 - 0.699,8
173,10173,"nobodi street burn loot terrifi innoc citizen , either .",anger,0.556,16,108,5,0.5 - 0.599,5
174,10174,# nothappi still # charg # fullpric ðÿ ˜¡ ðÿ ˜¡ # fume # bestride ðÿ ˜ ³ðÿ ˜ ³,anger,0.6459999999999999,13,91,6,0.6 - 0.699,4
175,10175,forget eat dinner ' furiou everyth everyon,anger,0.6459999999999999,12,58,1,0.6 - 0.699,5
176,10176,girl sit front chew gum like cow & amp ; im readi snap ðÿ ¤—,anger,0.6459999999999999,20,70,2,0.6 - 0.699,8
177,10177,"nonsens . ' injustic black , add destroy black properti . ' misdirect anger",anger,0.69,20,119,6,0.6 - 0.699,9
178,10178,someon make prioriti list thing outrag + order ? # racism # animalright # abort # cop,anger,0.6459999999999999,23,109,6,0.6 - 0.699,11
179,10179,wow !! bill â £. hav text u prove take â £!!!!! # swine # con !,anger,0.6459999999999999,23,110,13,0.6 - 0.699,10
180,10180,fuck boy run drag rout back back madden,anger,0.6459999999999999,14,47,0,0.6 - 0.699,6
181,10181,get fever high \ ni get boil blood,anger,0.6459999999999999,7,32,1,0.6 - 0.699,1
182,10182,bad tempera # tantrum # hissyfit,anger,0.6459999999999999,8,63,4,0.6 - 0.699,2
183,10183,' even right # bb # rage,anger,0.6459999999999999,7,28,3,0.6 - 0.699,2
184,10184,"haha .... actual , doggi ' barrack anyon gw ! # bitter",anger,0.47200000000000003,14,92,11,0.4 - 0.499,4
185,10185,peopl ' iphon bitter iphon ???? someon explain,anger,0.625,14,73,5,0.6 - 0.699,8
186,10186,guy call peopl ' cuck ' anti - blm offend idea might pro - polic reform ? ' amaz .,anger,0.625,23,117,8,0.6 - 0.699,10
187,10187,alway unhappi easili offend .,anger,0.531,6,45,2,0.5 - 0.599,1
188,10188,"shame display watch today leave reel much anger dt feel like explod , clown watch",anger,0.625,24,117,2,0.6 - 0.699,9
189,10189,hell break loos charlott . # charlotteprotest # loot,anger,0.625,9,59,3,0.6 - 0.699,3
190,10190,' still get whole season wentworth watch stupid cunt work ruin us ðÿ ˜­ ðÿ ˜­ # oldcunt,anger,0.625,24,107,5,0.6 - 0.699,10
191,10191,half epicent shut polic ' burst tear fuck terribl # keithlamontscott,anger,0.625,22,104,2,0.6 - 0.699,12
192,10192,give fuck better reveng .,anger,0.625,8,34,1,0.6 - 0.699,4
193,10193,get shit wrath winter nowher,anger,0.625,15,58,1,0.6 - 0.699,9
194,10194,though ! u want offend american ?,anger,0.625,10,50,3,0.6 - 0.699,4
195,10195,unarm black kill white cop . mani die everi month chicago,anger,0.625,20,98,4,0.6 - 0.699,5
196,10196,' think monalisa respect anyon ! think ' ruffl feather . # thejail,anger,0.625,19,91,6,0.6 - 0.699,8
197,10197,ask parcel deliv pick store address # poorcustomerservic,anger,0.625,18,83,3,0.6 - 0.699,10
198,10198,think xbox one madden bundl would come physic copi madden codeðÿ ˜´ ' gonna take fuck forev download lol,anger,0.625,26,116,1,0.6 - 0.699,9
199,10199,bad tempera # hissyfit,anger,0.625,7,54,3,0.6 - 0.699,2
200,10200,# # blood # bitter satan test # becous # clean # blood # jesu christ ....# amen .,anger,0.5429999999999999,17,85,13,0.5 - 0.599,7
201,10201,new gun emoji io enough show anger toward number thing .,anger,0.625,20,74,1,0.6 - 0.699,10
202,10202,jealou cri babi ! # bitter # gladsheisgon # crybabi,anger,0.5710000000000001,12,73,7,0.5 - 0.599,5
203,10203,wanna know ' outrag black black crime one know victim blm kill cop base media,anger,0.625,29,111,1,0.6 - 0.699,14
204,10204,forev angri gh ruin molli morgan ' bond / friendship # bitter,anger,0.625,10,62,3,0.6 - 0.699,2
205,10205,spur radio comment refer mauricio pochettino ' mopo ' felt sudden surg rage .,anger,0.625,17,84,3,0.6 - 0.699,6
206,10206,huh ? sprint coach ? ' slowest team comp . talk rob live . # outrag,anger,0.625,22,116,9,0.6 - 0.699,8
207,10207,' believ ' get day leave ðÿ ™„ # backtor # rage,anger,0.625,12,60,4,0.6 - 0.699,2
208,10208,fume !,anger,0.625,2,23,2,0.6 - 0.699,0
209,10209,take break # wed # rage gener # stupid certain # peopl # internet .,anger,0.625,18,87,6,0.6 - 0.699,9
210,10210,ever put fist laptop screen ? time new one lmao # hp,anger,0.625,18,68,2,0.6 - 0.699,8
211,10211,â €¢ brother grab aggress manner alway throw tantrum like kid know express --,anger,0.625,23,119,3,0.6 - 0.699,9
212,10212,"' join put phone , talk rude . take money acc willynilli !",anger,0.604,23,95,5,0.6 - 0.699,12
213,10213,"assur laughter , increas anger cost , arrog westminst .",anger,0.604,18,95,4,0.6 - 0.699,10
214,10214,"peopl need way escap , escap ? corrupt world . realiti . joke . furi constant pain & amp ; stress . need vacat",anger,0.604,21,123,8,0.6 - 0.699,5
215,10215,love black peopl ..... realli realli . .... peopl realli irrit live hell outta caus ' differ . ðÿ ˜‘,anger,0.604,26,115,12,0.6 - 0.699,9
216,10216,' talk polit peopl nowaday get offend easili !,anger,0.479,11,62,2,0.4 - 0.499,4
217,10217,oh yeah . hate air raid ' like oregon / baylor offens ' fan ole miss one either,anger,0.46799999999999997,27,114,6,0.4 - 0.499,11
218,10218,"receiv verif email , ask resent time still noth .",anger,0.604,15,77,4,0.6 - 0.699,5
219,10219,unbeliev take minut get ' fault call hang # treatcustomersfairli,anger,0.604,19,106,3,0.6 - 0.699,8
220,10220,"justif shoot without provoc , even person bad histori . justif way go",anger,0.604,22,113,4,0.6 - 0.699,10
221,10221,genuin think anger issu,anger,0.604,7,31,0,0.6 - 0.699,3
222,10222,im honestli offend,anger,0.604,4,28,2,0.6 - 0.699,0
223,10223,michel one worst player bb histori # bb # bbfinal # bitter,anger,0.604,13,62,3,0.6 - 0.699,4
224,10224,' annoy / sad youtub burn grind ðÿ ™„ ðÿ ™„,anger,0.604,11,57,2,0.6 - 0.699,5
225,10225,"tell happi anniversari , u happi .. # bitter # ampalaya # paitpaitanangpeg",anger,0.604,14,79,6,0.6 - 0.699,6
226,10226,pay chicken ' even get ðÿ ˜‘ ðÿ ˜‘ ðÿ ˜‘ goe dollar custom,anger,0.604,21,96,2,0.6 - 0.699,11
227,10227,"never forget live cancel program , allow extend peopl could call detail outrag behaviour",anger,0.596,24,117,1,0.5 - 0.599,10
228,10228,someon rude say women long hair inner feminist tri rage,anger,0.604,18,81,0,0.6 - 0.699,8
229,10229,"absolut rage chang ca , joke",anger,0.604,10,43,1,0.6 - 0.699,5
230,10230,girl irrit much lol,anger,0.527,6,24,0,0.5 - 0.599,2
231,10231,... ' wait figur ' like ... real quick irrit .,anger,0.604,19,89,10,0.6 - 0.699,8
232,10232,listen yh ' provok co ' make cri,anger,0.604,11,48,3,0.6 - 0.699,3
233,10233,even give pizza ? seriou fail # hungri # furiou # hangri,anger,0.447,14,67,5,0.4 - 0.499,4
234,10234,bloodi park ticket ðÿ ˜’ ðÿ ’¸,anger,0.583,4,27,0,0.5 - 0.599,0
235,10235,appar contact . sofa mean deliv today . old one go . sit floor . sofa !,anger,0.583,22,104,6,0.5 - 0.599,8
236,10236,sam - ye ! help ! need sort asap ! keep promis stuff ' happen !!!!,anger,0.583,21,107,10,0.5 - 0.599,8
237,10237,"' like rape apologist ( inadvert ?) make men sound like rabid , mindless beast . friend like ...",anger,0.583,18,107,9,0.5 - 0.599,3
238,10238,get angri tell ' would year old guy look girl like ' felt # offend,anger,0.583,27,99,3,0.5 - 0.599,12
239,10239,shoot black polic woman typic looney toon think . # hillari # divid # chao,anger,0.583,14,95,7,0.5 - 0.599,1
240,10240,"sex offens happen across race , cultur , creed & amp ; castrat",anger,0.629,17,119,8,0.6 - 0.699,5
241,10241,prudenc suggest +% bump - week view skeptic . media / hrc axi # angri,anger,0.583,19,120,8,0.5 - 0.599,6
242,10242,rabid dog ride child eat flesh one fellow limb adult .,anger,0.583,25,103,2,0.5 - 0.599,14
